"Title","Label","Type","Area","Pattern","Price","Addr","info","Tel","PC","Mobile","Enhance","Time","href"
"台北101對面基隆路2段144巷，捷運旁","屋主直租近捷運隨時可遷入南北通透","獨立套房","大安區","獨立套房7坪2F/4F公寓","8,900元/月","大安區基隆路二段144巷","屋主:王先生___(仲介勿擾)2011年註冊591","0938-252-562","70","252","黄金曝光","8月3日","https://rent.591.com.tw/rent-detail-11237599.html"
"限女性.東區時尚商圈旁.全天警衛保全","",,"租金含TV.WIFI.管理費 大安區-復興南路一段","獨立套房   |  6坪   |  樓層：6/12","14,500 元/月","租金含TV.WIFI.管理費 大安區-復興南路一段","仲介黃先生/31分鐘內更新/85人瀏覽","","仲介黃先生/31分鐘內更新/85人瀏覽","仲介黃先生/31分鐘內更新/85人瀏覽","黄金曝光","仲介黃先生/31分鐘內更新/85人瀏覽","https://rent.591.com.tw/rent-detail-11295420.html"
"小巨蛋柚木地板套房","屋主直租近捷運隨時可遷入","獨立套房","松山區","獨立套房6.5坪2F/4F公寓","9,000元/月","松山區健康路5巷2號","屋主:李小姐___(仲介勿擾)2009年註冊591","0918-535-657","97","240","黄金曝光","8月9日","https://rent.591.com.tw/rent-detail-11263014.html"
"北科。忠孝新生捷運。挑高套房","屋主直租近捷運隨時可遷入有陽台免管理費","獨立套房","大安區","獨立套房10坪6F/6F公寓","13,800元/月","大安區新生南路一段12巷","屋主:周小姐___(仲介勿擾)2008年註冊591","0933-419-689","23","86","黄金曝光","8月7日","https://rent.591.com.tw/rent-detail-11255425.html"
"獨立套房出租鄰敦化國中近捷運南京復興站","屋主直租近捷運隨時可遷入南北通透免管理費","獨立套房","松山區","獨立套房8坪3F/4F公寓","15,000元/月","松山區南京東路三段256巷","屋主:王太太___2011年註冊591","0986-851-077轉1502458","32","91","黄金曝光","7月26日","https://rent.591.com.tw/rent-detail-11190152.html"
"附傢俱套房裝潢新近中山國中捷運站","屋主直租近捷運隨時可遷入南北通透","獨立套房","松山區","獨立套房7坪4F/5F公寓","14,000元/月","松山區復興北路231巷","屋主:劉先生___(仲介勿擾)2015年註冊591","0928-123-319","22","58","黄金曝光","7月30日","https://rent.591.com.tw/rent-detail-11215446.html"
"套房空間寬敞、不用委曲自己、CP值最優","屋主直租隨時可遷入可養寵物","獨立套房","松山區","獨立套房10坪B1/5F公寓","13,000元/月","松山區民權東路五段84號","屋主:曾先生___(仲介勿擾)2014年註冊591","0932-003-206","58","249","黄金曝光","7月26日","https://rent.591.com.tw/rent-detail-11193758.html"
"古亭•東門雙捷運站旁超優質套房~優惠中~","屋主直租近捷運隨時可遷入","獨立套房","大安區","獨立套房8坪3F/4F公寓","14,000元/月","大安區金山南路二段","屋主:黃小姐___(仲介勿擾)2008年註冊591","0926083908","20","38","黄金曝光","8月9日","https://rent.591.com.tw/rent-detail-11265409.html"
"台北101對面基隆路2段144巷，捷運旁","屋主直租近捷運隨時可遷入南北通透","獨立套房","大安區","獨立套房6坪2F/4F公寓","8,700元/月","大安區基隆路二段144巷","屋主:王先生___(仲介勿擾)2011年註冊591","0938-252-562","96","258","黄金曝光","8月3日","https://rent.591.com.tw/rent-detail-11237617.html"
"限女性.東區時尚商圈旁.全天警衛保全","",,"租金含TV.WIFI.管理費 大安區-復興南路一段","獨立套房   |  6坪   |  樓層：6/12","14,500 元/月","租金含TV.WIFI.管理費 大安區-復興南路一段","仲介黃先生/10小時內更新/32人瀏覽","","仲介黃先生/10小時內更新/32人瀏覽","仲介黃先生/10小時內更新/32人瀏覽","黄金曝光","仲介黃先生/10小時內更新/32人瀏覽","https://rent.591.com.tw/rent-detail-11296835.html"
"限女性.東區時尚商圈旁.全天警衛保全","",,"租金含TV.WIFI.管理費 大安區-復興南路一段","獨立套房   |  6坪   |  樓層：6/12","14,500 元/月","租金含TV.WIFI.管理費 大安區-復興南路一段","仲介黃先生/10小時內更新/45人瀏覽","","仲介黃先生/10小時內更新/45人瀏覽","仲介黃先生/10小時內更新/45人瀏覽","黄金曝光","仲介黃先生/10小時內更新/45人瀏覽","https://rent.591.com.tw/rent-detail-11296925.html"
"民生社區敦北內科.經濟實惠.松山機場.","屋主直租近捷運隨時可遷入南北通透","獨立套房","松山區","獨立套房5坪1F/5F公寓","8,800元/月","松山區富錦街359巷","屋主:廖先生___(仲介勿擾)2011年註冊591","0920-054-355","65","82","黄金曝光","7月3日","https://rent.591.com.tw/rent-detail-11090303.html"
"捷運信義安和站6分【超值租案★高檔裝潢】","近捷運新上架隨時可遷入可開伙","獨立套房","大安區","獨立套房6坪2F/3F公寓","14,999元/月","大安區光復南路","仲介:羅先生___經紀業:格瑞租屋","0911-935-445","44","184","黄金曝光","4天","https://rent.591.com.tw/rent-detail-11280048.html"
"公園旁一樓獨立出入口大套房","新上架隨時可遷入可開伙可養寵物免管理費","獨立套房","松山區","獨立套房7坪1F/6F電梯大樓","15,000元/月","松山區三民路136巷","仲介:林先生___經紀業:閤國際不動產經紀有限公司","0952-631-303","51","295","黄金曝光","4天","https://rent.591.com.tw/rent-detail-11282461.html"
"小巨蛋站8分鐘🍎經濟套房採光佳近台視","近捷運新上架隨時可遷入可開伙免管理費","獨立套房","松山區","獨立套房7.5坪頂層加蓋/5F公寓","9,500元/月","松山區八德路三段74巷","仲介:吳小姐___經紀業:齊富不動產有限公司","0939-022-117","105","482","黄金曝光","1天","https://rent.591.com.tw/rent-detail-11293931.html"
"套房出租近後山埤捷運(限女性)","屋主直租近捷運新上架隨時可遷入有陽台","獨立套房","松山區","獨立套房6.5坪2F/4F公寓","9,000元/月","松山區忠孝東路五段790巷","屋主:王小姐___(仲介勿擾)2008年註冊591","0988-963-458","34","151","VIP","1天","https://rent.591.com.tw/rent-detail-11294489.html"
"小巨蛋捷運站電梯1+1房","近捷運拎包入住隨時可遷入可開伙","獨立套房","松山區","獨立套房10坪頂層加蓋/7F電梯大樓","15,000元/月","松山區延吉街30巷","仲介:賴先生___經紀業:大運通不動產經紀有限公司","0910-316-088","15","101","VIP","7月18日","https://rent.591.com.tw/rent-detail-11162160.html"
"小巨蛋捷運套房生活機能強交通方便","屋主直租近捷運隨時可遷入有陽台","獨立套房","松山區","獨立套房11坪4F/4F公寓","14,000元/月","松山區寧安街1巷","屋主:陳小姐___2007年註冊591","0919-599-205","15","54","VIP","8月8日","https://rent.591.com.tw/rent-detail-11259521.html"
"靠近小巨蛋,房東自租限女性","屋主直租近捷運隨時可遷入有陽台","獨立套房","松山區","獨立套房6坪2F/4F公寓","9,100元/月","松山區南京東路四段133巷","屋主:袁小姐___2008年註冊591","0955-880-076","15","107","VIP","8月4日","https://rent.591.com.tw/rent-detail-11241874.html"
"鬧中取靜.近國父紀念館和捷運","屋主直租近捷運隨時可遷入","獨立套房","松山區","獨立套房5坪4F/4F公寓","9,000元/月","松山區光復南路57巷","屋主:王先生___(仲介勿擾)2012年註冊591","0935-087-781","43","141","VIP","6天","https://rent.591.com.tw/rent-detail-11272292.html"
"師大安靜套房","屋主直租近捷運隨時可遷入有陽台南北通透","獨立套房","大安區","獨立套房8坪5F/5F公寓","13,000元/月","大安區金山南路二段","屋主:小熊___2009年註冊591","0939-019-698","20","102","VIP","8月1日","https://rent.591.com.tw/rent-detail-11223272.html"
"5分鐘到大安忠孝復興雙捷運超方便溫馨套房","屋主直租近捷運新上架有電梯隨時可遷入有陽台","獨立套房","大安區","獨立套房4.5坪12F/14F電梯大樓","14,900元/月","大安區復興南路一段259號","屋主:項先生___(仲介勿擾)2008年註冊591","0911383096","36","105","VIP","1天","https://rent.591.com.tw/rent-detail-11294358.html"
"鄰近信義安和站只要5分鐘溫馨美宅","屋主直租近捷運隨時可遷入","獨立套房","大安區","獨立套房8坪3F/3F公寓","13,500元/月","大安區通化街39巷","屋主:劉先生___2016年註冊591","0916-919-206","17","60","VIP","8月6日","https://rent.591.com.tw/rent-detail-11253731.html"
